,Price_Price,Reg_Price,Reg_PV,Reg_Wind_On,Reg_Wind_Off,Reg_RE_Agg,Reg_Wind_Comb
2018-01-01 00:00:00,0.1,0.1,3.25,29583.75,5679.25,35266.25,35263.0
2018-01-01 01:00:00,0.01,0.01,3.0,29493.0,5345.75,34841.75,34838.75
2018-01-01 02:00:00,0.0,0.0,3.0,29573.5,5188.5,34765.0,34762.0
2018-01-01 03:00:00,-0.01,-0.01,3.25,29037.5,4674.25,33715.0,33711.75
2018-01-01 04:00:00,-0.03,-0.03,3.0,28970.0,4439.25,33412.25,33409.25
2018-01-01 05:00:00,-0.02,-0.02,3.25,29096.75,4624.75,33724.75,33721.5
2018-01-01 06:00:00,-0.05,-0.05,3.25,29083.25,4285.25,33371.75,33368.5
2018-01-01 07:00:00,-0.02,-0.02,4.0,29672.0,3897.25,33573.25,33569.25
2018-01-01 08:00:00,0.0,0.0,425.25,30346.0,3856.5,34627.75,34202.5
2018-01-01 09:00:00,0.04,0.04,3217.5,30440.25,3231.5,36889.25,33671.75
2018-01-01 10:00:00,0.06,0.06,6342.5,30315.25,3470.0,40127.75,33785.25
2018-01-01 11:00:00,0.54,0.54,8136.5,30266.25,3573.25,41976.0,33839.5
2018-01-01 12:00:00,2.24,2.24,7771.5,30406.75,3296.0,41474.25,33702.75
2018-01-01 13:00:00,1.96,1.96,6366.0,29770.75,3278.5,39415.25,33049.25
2018-01-01 14:00:00,1.04,1.04,4199.25,28508.5,3304.25,36012.0,31812.75
2018-01-01 15:00:00,3.66,3.66,1422.5,27437.0,3809.75,32669.25,31246.75
2018-01-01 16:00:00,43.06,43.06,83.5,27379.75,4230.5,31693.75,31610.25
2018-01-01 17:00:00,49.93,49.93,5.75,27987.75,4448.0,32441.5,32435.75
2018-01-01 18:00:00,58.0,58.0,5.25,27035.75,4487.0,31528.0,31522.75
2018-01-01 19:00:00,54.25,54.25,4.5,26403.75,4588.75,30997.0,30992.5
2018-01-01 20:00:00,48.01,48.01,3.25,25502.25,4638.75,30144.25,30141.0
2018-01-01 21:00:00,42.95,42.95,3.0,24367.5,4654.25,29024.75,29021.75
2018-01-01 22:00:00,47.09,47.09,2.75,22961.75,4559.75,27524.25,27521.5
2018-01-01 23:00:00,35.55,35.55,3.0,21868.75,3722.75,25594.5,25591.5
2018-01-02 00:00:00,30.59,30.59,3.25,20845.75,3619.25,24468.25,24465.0
2018-01-02 01:00:00,20.07,20.07,3.0,19916.75,3763.75,23683.5,23680.5
2018-01-02 02:00:00,31.03,31.03,3.25,19817.25,3696.0,23516.5,23513.25
2018-01-02 03:00:00,18.39,18.39,3.5,21004.0,4018.0,25025.5,25022.0
2018-01-02 04:00:00,11.08,11.08,3.0,22675.75,4777.0,27455.75,27452.75
2018-01-02 05:00:00,13.78,13.78,3.25,25176.75,5096.0,30276.0,30272.75
2018-01-02 06:00:00,47.63,47.63,3.5,28163.25,5178.5,33345.25,33341.75
2018-01-02 07:00:00,58.1,58.1,3.0,29854.5,5190.75,35048.25,35045.25
2018-01-02 08:00:00,65.67,65.67,50.75,30872.5,5175.75,36099.0,36048.25
2018-01-02 09:00:00,64.73,64.73,538.0,30646.5,5187.75,36372.25,35834.25
2018-01-02 10:00:00,68.98,68.98,1390.0,30483.5,5186.25,37059.75,35669.75
2018-01-02 11:00:00,73.54,73.54,2153.25,29014.0,4353.75,35521.0,33367.75
2018-01-02 12:00:00,78.16,78.16,2625.5,27920.25,3806.0,34351.75,31726.25
2018-01-02 13:00:00,78.87,78.87,2307.0,27443.0,3366.25,33116.25,30809.25
2018-01-02 14:00:00,79.24,79.24,1232.75,26906.25,3298.0,31437.0,30204.25
2018-01-02 15:00:00,79.96,79.96,343.75,27167.25,3251.5,30762.5,30418.75
2018-01-02 16:00:00,83.46,83.46,12.5,28748.5,3734.5,32495.5,32483.0
2018-01-02 17:00:00,80.92,80.92,4.0,30712.75,5059.0,35775.75,35771.75
2018-01-02 18:00:00,74.95,74.95,3.75,32516.25,6032.25,38552.25,38548.5
2018-01-02 19:00:00,63.18,63.18,3.25,34632.25,6402.5,41038.0,41034.75
2018-01-02 20:00:00,57.11,57.11,2.5,36043.75,6434.0,42480.25,42477.75
2018-01-02 21:00:00,46.89,46.89,3.0,37234.5,6373.75,43611.25,43608.25
2018-01-02 22:00:00,40.0,40.0,3.5,37172.0,6056.0,43231.5,43228.0
2018-01-02 23:00:00,7.43,7.43,3.0,37663.75,5661.0,43327.75,43324.75
2018-01-03 00:00:00,-0.08,-0.08,3.0,36707.75,3957.75,40668.5,40665.5
2018-01-03 01:00:00,-1.23,-1.23,3.0,36906.25,3200.75,40110.0,40107.0
2018-01-03 02:00:00,-1.3,-1.3,3.0,37340.25,3077.5,40420.75,40417.75
2018-01-03 03:00:00,-1.31,-1.31,3.0,37466.25,2897.0,40366.25,40363.25
2018-01-03 04:00:00,-1.31,-1.31,3.0,38304.0,2893.25,41200.25,41197.25
2018-01-03 05:00:00,-1.38,-1.38,3.0,38633.0,3439.0,42075.0,42072.0
2018-01-03 06:00:00,1.09,1.09,3.5,41864.75,5103.25,46971.5,46968.0
2018-01-03 07:00:00,40.59,40.59,3.0,42989.5,5126.75,48119.25,48116.25
2018-01-03 08:00:00,59.61,59.61,314.5,42366.5,5151.0,47832.0,47517.5
2018-01-03 09:00:00,60.61,60.61,2371.75,41508.75,5273.5,49154.0,46782.25
2018-01-03 10:00:00,57.0,57.0,5093.0,41712.5,5253.75,52059.25,46966.25
2018-01-03 11:00:00,54.89,54.89,6069.0,42285.25,5309.0,53663.25,47594.25
2018-01-03 12:00:00,53.89,53.89,6408.75,41979.25,5096.0,53484.0,47075.25
2018-01-03 13:00:00,54.42,54.42,6128.5,41288.0,4553.0,51969.5,45841.0
2018-01-03 14:00:00,60.86,60.86,4156.0,40374.5,4311.25,48841.75,44685.75
2018-01-03 15:00:00,67.18,67.18,1577.5,38924.0,3773.75,44275.25,42697.75
2018-01-03 16:00:00,73.59,73.59,94.0,37201.0,3559.75,40854.75,40760.75
2018-01-03 17:00:00,82.28,82.28,6.5,35083.75,3643.75,38734.0,38727.5
2018-01-03 18:00:00,82.97,82.97,4.5,33908.75,3351.25,37264.5,37260.0
2018-01-03 19:00:00,79.03,79.03,4.25,32696.5,3252.0,35952.75,35948.5
2018-01-03 20:00:00,73.23,73.23,3.25,31814.5,3241.5,35059.25,35056.0
2018-01-03 21:00:00,67.41,67.41,2.75,31387.5,3402.5,34792.75,34790.0
